# tmin = 5. tmax = 16
# t . data . data_error . fit . fit_error
00        -0.64927073         0.00149056         3.46327846         0.13866518
01         3.91302117         0.00145104         3.60089599         0.05354156
02         3.65196060         0.00200429         3.51453839         0.02298766
03         3.59323136         0.00256948         3.53240062         0.01039526
04         3.52327483         0.00315070         3.50870928         0.00604531
05         3.50526887         0.00384443         3.50675069         0.00363464
06         3.49259286         0.00441961         3.49814472         0.00320398
07         3.48972973         0.00571035         3.49464071         0.00358360
08         3.48323256         0.00639114         3.49064557         0.00423690
09         3.48313953         0.00851108         3.48818617         0.00489695
10         3.48381014         0.00973287         3.48607697         0.00548830
11         3.47509394         0.01183159         3.48458886         0.00599844
12         3.50238247         0.01436435         3.48341967         0.00643254
13         3.53915915         0.01854935         3.48255754         0.00679568
14         3.54291470         0.02278389         3.48189935         0.00709779
15         3.53395788         0.02856391         3.48140722         0.00734622
16         3.53879645         0.03340478         3.48103514         0.00754937
17         3.47793481         0.04119057         3.48075576         0.00771415
18         3.46657765         0.05321207         3.48054524         0.00784711
19         3.49588860         0.06088315         3.48038698         0.00795375
20         3.54095556         0.07879040         3.48026788         0.00803891
21         3.42613651         0.09251706         3.48017832         0.00810660
22         3.38191147         0.09549401         3.48011095         0.00816023
23         3.49982711         0.12870549         3.48006029         0.00820256
24         3.64658240         0.17237496         3.48002219         0.00823589
25         3.48894895         0.22055928         3.47999353         0.00826206
26         3.84804351         0.34627909         3.47997199         0.00828256
27         4.12904247         0.61050076         3.47995579         0.00829858
28         3.56705138         0.66363066         3.47994360         0.00831109
29         4.20568544         1.40321148         3.47993444         0.00832083
30         2.60298385         1.15307796         3.47992755         0.00832841
31         2.65370226         2.11207738         3.47992237         0.00833430
32         1.69848006                nan         3.47991848         0.00833887
33         2.57280743                nan         3.47991555         0.00834241
34        -9.46336967                nan         3.47991335         0.00834515
35        -6.52953771         8.31430746         3.47991169         0.00834728
36        -4.74791097         1.23521884         3.47991044         0.00834892
37        -4.03268161         0.46132839         3.47990951         0.00835018
38        -3.64172632         0.26216510         3.47990880         0.00835116
39        -3.59110133         0.21000176         3.47990827         0.00835191
40        -3.40122879         0.15500620         3.47990788         0.00835250
41        -3.47005971         0.13367990         3.47990758         0.00835294
42        -3.59714586         0.11341060         3.47990735         0.00835329
43        -3.54764404         0.09147930         3.47990718         0.00835355
44        -3.47752695         0.06777075         3.47990706         0.00835376
45        -3.51630633         0.05742746         3.47990696         0.00835391
46        -3.60358753         0.04547378         3.47990689         0.00835403
47        -3.57781253         0.03571546         3.47990683         0.00835413
48        -3.50580870         0.02559612         3.47990679         0.00835420
49        -3.50642225         0.02097403         3.47990676         0.00835425
50        -3.52979403         0.01876598         3.47990674         0.00835429
51        -3.52081273         0.01587028         3.47990672         0.00835433
52        -3.51476420         0.01310225         3.47990671         0.00835435
53        -3.50702317         0.01052221         3.47990670         0.00835437
54        -3.49497521         0.00866276         3.47990669         0.00835438
55        -3.49311049         0.00719955         3.47990669         0.00835439
56        -3.48978580         0.00550425         3.47990668         0.00835440
57        -3.48886527         0.00464127         3.47990668         0.00835441
58        -3.50686862         0.00373075         3.47990668         0.00835441
59        -3.52378277         0.00316702         3.47990668         0.00835442
60        -3.59576488         0.00268714         3.47990667         0.00835442
61        -3.65634245         0.00209158         3.47990667         0.00835442
62        -3.91788012         0.00152975         3.47990667         0.00835442
63         0.64478508         0.00164753      -219.55830656         0.42466332
